"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5752","@API test case 2","","Sun Jun 29 20:31:07 IST 2025","passed","Sun Jun 29 20:31:13 IST 2025","","WebAPIPart2.spec.js","",""
"","22277","@API Place the Order","","Sun Jun 29 20:31:07 IST 2025","passed","Sun Jun 29 20:31:29 IST 2025","","WebAPIPart1.spec.js","",""
